label,elapsed_ms
1,25.445
2,2.875
3,409.082
4,0.361
5,11.705
6,83.919
7,0.291
8,0.188
9,0.185
10,33.287
11,0.275
12,0.202
13,0.182
14,2.407
15,0.193
16,0.184
17,0.216
18,0.171
19,0.199
20,4.025
21,173.715
22,0.661
23,0.265
24,63.535
25,0.411
26,4.38
27,0.285
28,0.238
29,0.21
30,4.08
31,0.498
32,0.826
33,0.465
34,0.195
35,0.215
36,0.453
37,0.183
38,0.199
39,0.197
40,0.197
41,0.44
42,2.742
43,0.193
44,385.322
45,0.344
46,0.318
47,3.539
48,0.261
49,0.264
50,0.233
51,0.249
52,0.528
53,2.612
54,0.507
55,0.506
56,0.219
57,0.222
58,0.219
59,0.207
60,0.217
61,0.203
62,0.487
63,4.298
64,0.237
65,0.255
66,4.365
67,0.258
68,0.251
69,38.022
70,0.565
71,2.595
72,0.26
73,0.219
74,0.523
75,0.504
76,0.208
77,4.519
78,0.206
79,0.538
80,0.212
81,4.297
82,0.943
83,4.247
84,0.218
85,0.205
86,0.207
87,4.053
88,178.544
89,4.56
90,0.256
91,0.535
92,0.227
93,0.258
94,0.222
95,0.49
96,4.08
97,0.207
98,2.589
99,0.47
100,173.118
